IS_TYPE,IS_NAME,COORDINATE,XZQHSZ_DM,ADDRESS,TAG,RATING,COMMENT_NUM
cater,泉云早点,"116.839299,31.905239",肥西县,合肥市肥西县,美食;其他,,
cater,王广周饭店,"116.839415,31.905561",肥西县,安徽省合肥市肥西县王广周饭店(高店街道西),美食;中餐厅,,
cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1
cater,王广周饭店,"116.839415,31.905561",肥西县,安徽省合肥市肥西县王广周饭店(高店街道西),美食;中餐厅,,
cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1
cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,
cater,泉云早点,"116.839299,31.905239",肥西县,合肥市肥西县,美食;其他,,
cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,
cater,王广周饭店,"116.839415,31.905561",肥西县,安徽省合肥市肥西县王广周饭店(高店街道西),美食;中餐厅,,
cater,泉云早点,"116.839299,31.905239",肥西县,合肥市肥西县,美食;其他,,
cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1
cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,
cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1
cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,花园饭店,"116.8786,31.805438",肥西县,安徽省合肥市肥西县X050,美食;中餐厅,,
cater,老交通土菜馆,"116.878817,31.806019",肥西县,官山路47号,美食;中餐厅,,1
cater,二姐烧烤,"116.878674,31.806453",肥西县,官山路14号附近,美食;其他,,
cater,金街大排档(官厅店),"116.878817,31.806019",肥西县,官厅镇摩恩时代花园肥西官厅电营业厅对面私房小厨旁,美食;中餐厅,,
cater,私房小厨,"116.878812,31.805773",肥西县,合肥市肥西县官山路33号,美食;中餐厅,,
cater,老五土菜馆(官亭店),"116.877401,31.808734",肥西县,官亭镇农贸市场中国农业银行斜对面,美食;中餐厅,,0
cater,淮南牛肉汤,"116.878674,31.806453",肥西县,官山路28号附近,美食;小吃快餐店,,
cater,大祥早点店,"116.878674,31.806453",肥西县,官山路28号附近,美食;小吃快餐店,,
cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,周家饭店(官亭街道店),"116.876194,31.807098",肥西县,安徽省合肥市肥西县官亭镇G312苏果超市西行50米路北,美食;中餐厅,,
cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,老五土菜馆(官亭店),"116.877401,31.808734",肥西县,官亭镇农贸市场中国农业银行斜对面,美食;中餐厅,,0
cater,周家饭店(官亭街道店),"116.876194,31.807098",肥西县,安徽省合肥市肥西县官亭镇G312苏果超市西行50米路北,美食;中餐厅,,
cater,聚星土菜馆(聚星乡人民政府西),"116.886626,31.723962",肥西县,聚星乡X050县道聚星农贸市场向西南50米乡村华联连锁超市旁,美食;中餐厅,3.6,5
cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1
cater,花园饭店,"116.8786,31.805438",肥西县,安徽省合肥市肥西县X050,美食;中餐厅,,
cater,老交通土菜馆,"116.878817,31.806019",肥西县,官山路47号,美食;中餐厅,,1
cater,二姐烧烤,"116.878674,31.806453",肥西县,官山路14号附近,美食;其他,,
cater,金街大排档(官厅店),"116.878817,31.806019",肥西县,官厅镇摩恩时代花园肥西官厅电营业厅对面私房小厨旁,美食;中餐厅,,
cater,私房小厨,"116.878812,31.805773",肥西县,合肥市肥西县官山路33号,美食;中餐厅,,
cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,
cater,淮南牛肉汤,"116.878674,31.806453",肥西县,官山路28号附近,美食;小吃快餐店,,
cater,老五土菜馆(官亭店),"116.877401,31.808734",肥西县,官亭镇农贸市场中国农业银行斜对面,美食;中餐厅,,0
cater,大家福卤味店,"116.8786,31.805438",肥西县,官山路69号附近,美食;小吃快餐店,,
cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1
cater,花园饭店,"116.8786,31.805438",肥西县,安徽省合肥市肥西县X050,美食;中餐厅,,
cater,花园饭店,"116.8786,31.805438",肥西县,安徽省合肥市肥西县X050,美食;中餐厅,,
cater,私房小厨,"116.878812,31.805773",肥西县,合肥市肥西县官山路33号,美食;中餐厅,,
cater,老交通土菜馆,"116.878817,31.806019",肥西县,官山路47号,美食;中餐厅,,1
cater,二姐烧烤,"116.878674,31.806453",肥西县,官山路14号附近,美食;其他,,
cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1
cater,惠友餐馆,"116.887019,31.810472",肥西县,官亭土菜馆附近,美食;中餐厅,5.0,5
