is_type,name,coord,district,address
银行,巢湖农村商业银行,"117.86067,31.560171",巢湖市,合肥市
银行,巢湖农村商业银行atm,"117.86067,31.560171",巢湖市,安徽省合肥市农村商业银行(巢湖市银屏镇政府北)
银行,中国邮政储蓄银行(银屏邮政支局),"117.859752,31.560588",巢湖市,安徽省合肥市208省道(司法局银屏司法所斜对面)
银行,中国邮政储蓄银行24小时自助银行,"117.859576,31.560568",巢湖市,合肥市
银行,巢湖农村商业银行,"117.86067,31.560171",巢湖市,合肥市
银行,巢湖农村商业银行atm,"117.86067,31.560171",巢湖市,安徽省合肥市农村商业银行(巢湖市银屏镇政府北)
银行,巢湖农村商业银行,"117.86067,31.560171",巢湖市,合肥市
银行,巢湖农村商业银行atm,"117.86067,31.560171",巢湖市,安徽省合肥市农村商业银行(巢湖市银屏镇政府北)
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,中国邮政储蓄银行(银屏邮政支局),"117.859752,31.560588",巢湖市,安徽省合肥市208省道(司法局银屏司法所斜对面)
银行,中国邮政储蓄银行24小时自助银行,"117.859576,31.560568",巢湖市,合肥市
银行,中国邮政储蓄银行(银屏邮政支局),"117.859752,31.560588",巢湖市,安徽省合肥市208省道(司法局银屏司法所斜对面)
银行,中国邮政储蓄银行24小时自助银行,"117.859576,31.560568",巢湖市,合肥市
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
