,IS_TYPE,IS_NAME,COORDINATE,XZQHSZ_DM,ADDRESS,TAG,RATING,COMMENT_NUM,lat,lng
0,cater,泉云早点,"116.839299,31.905239",肥西县,合肥市肥西县,美食;其他,,,116.839299,31.905239
1,cater,王广周饭店,"116.839415,31.905561",肥西县,安徽省合肥市肥西县王广周饭店(高店街道西),美食;中餐厅,,,116.839415,31.905561
2,cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1.0,116.842284,31.911351
3,cater,王广周饭店,"116.839415,31.905561",肥西县,安徽省合肥市肥西县王广周饭店(高店街道西),美食;中餐厅,,,116.839415,31.905561
4,cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1.0,116.842284,31.911351
5,cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,,116.841923,31.911106
6,cater,泉云早点,"116.839299,31.905239",肥西县,合肥市肥西县,美食;其他,,,116.839299,31.905239
7,cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,,116.841923,31.911106
8,cater,王广周饭店,"116.839415,31.905561",肥西县,安徽省合肥市肥西县王广周饭店(高店街道西),美食;中餐厅,,,116.839415,31.905561
9,cater,泉云早点,"116.839299,31.905239",肥西县,合肥市肥西县,美食;其他,,,116.839299,31.905239
10,cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1.0,116.842284,31.911351
11,cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,,116.841923,31.911106
12,cater,马路饭店,"116.842284,31.911351",肥西县,安徽省合肥市肥西县沪陕高速公路高店乡中心学校东北,美食;中餐厅,2.0,1.0,116.842284,31.911351
13,cater,新侨饭店,"116.841923,31.911106",肥西县,安徽省合肥市肥西县龙健商务酒店南(050县道),美食;中餐厅,,,116.841923,31.911106
14,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
15,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
16,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
17,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
18,cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1.0,116.875517,31.806866
19,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
20,cater,花园饭店,"116.8786,31.805438",肥西县,安徽省合肥市肥西县X050,美食;中餐厅,,,116.8786,31.805438
21,cater,老交通土菜馆,"116.878817,31.806019",肥西县,官山路47号,美食;中餐厅,,1.0,116.878817,31.806019
22,cater,二姐烧烤,"116.878674,31.806453",肥西县,官山路14号附近,美食;其他,,,116.878674,31.806453
23,cater,金街大排档(官厅店),"116.878817,31.806019",肥西县,官厅镇摩恩时代花园肥西官厅电营业厅对面私房小厨旁,美食;中餐厅,,,116.878817,31.806019
24,cater,私房小厨,"116.878812,31.805773",肥西县,合肥市肥西县官山路33号,美食;中餐厅,,,116.878812,31.805773
25,cater,老五土菜馆(官亭店),"116.877401,31.808734",肥西县,官亭镇农贸市场中国农业银行斜对面,美食;中餐厅,,0.0,116.877401,31.808734
26,cater,淮南牛肉汤,"116.878674,31.806453",肥西县,官山路28号附近,美食;小吃快餐店,,,116.878674,31.806453
27,cater,大祥早点店,"116.878674,31.806453",肥西县,官山路28号附近,美食;小吃快餐店,,,116.878674,31.806453
28,cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1.0,116.875517,31.806866
29,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
30,cater,周家饭店(官亭街道店),"116.876194,31.807098",肥西县,安徽省合肥市肥西县官亭镇G312苏果超市西行50米路北,美食;中餐厅,,,116.876194,31.807098
31,cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1.0,116.875517,31.806866
32,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
33,cater,老五土菜馆(官亭店),"116.877401,31.808734",肥西县,官亭镇农贸市场中国农业银行斜对面,美食;中餐厅,,0.0,116.877401,31.808734
34,cater,周家饭店(官亭街道店),"116.876194,31.807098",肥西县,安徽省合肥市肥西县官亭镇G312苏果超市西行50米路北,美食;中餐厅,,,116.876194,31.807098
35,cater,聚星土菜馆(聚星乡人民政府西),"116.886626,31.723962",肥西县,聚星乡X050县道聚星农贸市场向西南50米乡村华联连锁超市旁,美食;中餐厅,3.6,5.0,116.886626,31.723962
36,cater,重庆齐齐火锅(官厅店),"116.875517,31.806866",肥西县,安徽省合肥市肥西县官厅镇312国道中心段路北09号(中国联通旁),美食;中餐厅,3.5,1.0,116.875517,31.806866
37,cater,花园饭店,"116.8786,31.805438",肥西县,安徽省合肥市肥西县X050,美食;中餐厅,,,116.8786,31.805438
38,cater,老交通土菜馆,"116.878817,31.806019",肥西县,官山路47号,美食;中餐厅,,1.0,116.878817,31.806019
39,cater,二姐烧烤,"116.878674,31.806453",肥西县,官山路14号附近,美食;其他,,,116.878674,31.806453
40,cater,金街大排档(官厅店),"116.878817,31.806019",肥西县,官厅镇摩恩时代花园肥西官厅电营业厅对面私房小厨旁,美食;中餐厅,,,116.878817,31.806019
41,cater,私房小厨,"116.878812,31.805773",肥西县,合肥市肥西县官山路33号,美食;中餐厅,,,116.878812,31.805773
42,cater,有味土菜馆(官厅店),"116.868499,31.8044",肥西县,312国道辅路北50米,美食;中餐厅,,,116.868499,31.8044
43,cater,淮南牛肉汤,"116.878674,31.806453",肥西县,官山路28号附近,美食;小吃快餐店,,,116.878674,31.806453
44,cater,老五土菜馆(官亭店),"116.877401,31.808734",肥西县,官亭镇农贸市场中国农业银行斜对面,美食;中餐厅,,0.0,116.877401,31.808734
45,cater,大家福卤味店,"116.8786,31.805438",肥西县,官山路69号附近,美食;小吃快餐店,,,116.8786,31.805438
